A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
FTLP3,284764,,,,,,-6.095220119,,
FSTL1,11167,Q12841,,,,,2.420860404,,
FRMD8,83786,Q9BZ67,,,1.181351456,,,,
FRMD7,90167,Q6ZUT3,,,,,4.004261587,,
FPR3,2359,P25089,,,,,3.095694688,,
FPR2,2358,P25090,,,,2.056032016,3.549878774,,
FOXN3,1112,O00409,,,1.358535706,,,,
FOXK1,221937,P85037,,,1.920234546,,,,
FOXD4L1,200350,Q9NU39,,,1.695590826,,,,
FOXD3,27022,Q9UJU5,,,1.508164396,,,,
FOLR1,2348,P15328,,,,,-3.498985579,,
FNDC5,252995,Q8NAU1,,,1.139136768,,,,
FMR1,2332,Q06787,,,1.188260834,,,"DENV2 16681 Capsid,ZIKVfp NS5,ZIKVug NS5","0.6797150491083639,0.673907725,0.631249545"
FMN2,56776,Q9NZ56,,,1.243541629,,,,
FLYWCH2,114984,Q96CP2,,,,,-2.635267735,,
FLNA,2316,P21333,,,,,-2.588512849,,
FLG,2312,P20930,,,1.495317961,,,,
FKBP14,55033,Q9NWM8,,,1.534203841,,,,
FIRRE,286467,,,,,,2.258006153,,
FILIP1L,11259,Q4L180,,,,,2.488570889,,
FHL1,2273,Q13642,,,,,-2.888511319,,
FGL1,2267,Q08830,,,1.574058656,,,,
FGFR1,2260,P11362,,,,,-2.209799413,,
FGFBP1,9982,Q14512,,,1.916906421,,,,
FGF2,2247,P09038,,,,,2.985674961,DENV2 16681 NS5,0.657429280362873
FER1L6,654463,Q2WGJ9,,,,3.081181908,2.859967695,,
FDPSP3,2227,,,,,6.439771969,6.536289166,,
FCGR1CP,100132417,,,,,,2.158961378,,
FCGR1BP,2210,,,,,,2.021781891,,
FCF1,51077,Q9Y324,,,1.486453838,,,,
FBXO5,26271,Q9UKT4,,,,,2.014814924,,
FBXO39,162517,Q8N4B4,,,,,6.770261229,,
FBXO3,26273,Q9UK99,,,1.199066327,,,,
FBP1,2203,P09467,,,,,-2.796405591,,
FBLN5,10516,Q9UBX5,,,1.305812036,,,,
FAT1,2195,Q14517,,,1.140126033,,,ZIKVfp NS2B3,0.663445309
FASTKD1,79675,Q53R41,,,1.480938282,,,,
FASN,2194,P49327,,,,,-2.133042223,,
FAS,355,P25445,,,,,2.364194725,,
FAP,2191,Q12884,,,,4.024459637,8.539887815,,
FANCI,55215,Q9NVI1,,,1.402323927,,,,
FANCE,2178,Q9HB96,,,,,-2.080257566,,
FAM95B1,100133036,,,,,,-3.285735115,,
FAM90A1,55138,Q86YD7,,,1.134082831,,,,
FAM8A1,51439,Q9UBU6,,,,,3.164884504,,
FAM83E,54854,Q2M2I3,,,1.326873792,,,,
FAM81A,145773,Q8TBF8,,,,,-2.118264565,,
FAM72D,728833,Q6L9T8,,,,,2.006720704,,
FAM72C,554282,H0Y354,,,,,2.186324543,,
FAM72B,653820,Q86X60,,,,,2.181183066,,
FAM72A,729533,Q5TYM5,,,,,2.235523648,,
FAM3C,10447,Q92520,,,1.143878675,,,DENV2 16681 NS4A,0.7989732079167624
FAM241A,132720,Q8N8J7,,,,,3.197687886,,
FAM234A,83986,Q9H0X4,,,1.196949685,,,,
FAM177B,400823,A6PVY3,,,1.502112755,,,,
FAM131B,9715,Q86XD5,,,,-2.200291298,,,
FAM124A,220108,Q86V42,,,,,2.61769005,,
FABP6,2172,P51161,,,1.603311367,,,,
FABP4,2167,P15090,,,,,-2.584748542,,
FA2H,79152,Q7L5A8,,,,,-2.303185065,,
F13A1,2162,P00488,,,,,-3.486368073,,
EXT1,2131,Q16394,,,,,3.361892552,,
EXPH5,23086,Q8NEV8,,,1.593275432,,,,
EXOSC6,118460,Q5RKV6,,,,5.14421105,,,
EXOSC5,56915,Q9NQT4,,,,,-2.212539315,DENV2 16681 Capsid,0.6488485127080699
EXOC8,149371,Q8IYI6,,,,4.098158984,,,
EXD3,54932,Q8N9H8,,,,,-2.158610008,,
EVI5L,115704,Q96CN4,,,,,-2.288515124,"ZIKVfp NS5,ZIKVug NS5","0.878924848,0.911660684"
ETV7,51513,Q9Y603,,,,3.59222514,4.057586457,,
ETNK2,55224,Q9NVF9,,,,,-2.228390464,,
ESPNL,339768,Q6ZVH7,,,,-2.46610508,,,
ERN2,10595,Q76MJ5,,,2.482426196,,,,
ERLEC1,27248,Q96DZ1,,,1.407314314,,,"DENV2 16681 NS1,ZIKVfp NS2B3","0.6714084132044582,0.605410909"
EREG,2069,O14944,,,,,3.81869063,,
ERCC1,2067,P07992,,,1.535868005,,-2.245204961,,
ERC1,23085,Q8IUD2,,-1.952667675,1.476430313,,,DENV2 16681 NS5,0.8080984000027712
EPSTI1,94240,Q96J88,,,,3.44910506,5.046409577,,
EPS8,2059,Q12929,,,1.289967899,,,,
EPHB6,2051,O15197,,,,,-2.798011871,,
EPHB2,2048,P29323,,,,2.173786132,,,
EPHA6,285220,Q9UF33,,,1.446887044,,,,
EPCAM,4072,P16422,,,1.314923741,,,,
EPC2,26122,Q52LR7,,,1.391519371,,,,
EPC1,80314,Q9H2F5,,,1.534361959,,,,
EPB41L5,57669,Q9HCM4,,,,2.305512395,2.261156885,,
EOMES,8320,O95936,,,1.258670289,,,,
ENTREP1,9413,Q15884,,,,,-2.37224387,,
ENDOG,2021,Q14249,,,1.454057554,,,,
ENDOD1,23052,O94919,,,,3.00375437,-4.427981477,ZIKVfp NS4A,0.715143803
ENC1,8507,O14682,,,,,-2.309747804,,
EMP2,2013,P54851,,,1.429970856,,,,
EME2,197342,A4GXA9,,,,-2.126233799,,ZIKVug NS4A,0.790485935
EMC6,83460,Q9BV81,,,1.664539541,,,,
EMC10,284361,Q5UCC4,,,,,-2.510526363,,
ELOVL7,79993,A1L3X0,,,,,2.770514685,ZIKVfp NS4A,0.790436991
ELOVL6,79071,Q9H5J4,,,1.696451958,,,,
ELOVL3,83401,Q9HB03,,,,6.586984817,3.738171491,,
ELOVL1,64834,Q9BW60,,,1.298764557,,,,
ELOB,6923,Q15370,,,,,-2.302280928,,
ELL2,22936,O00472,,,1.230996812,,,,
ELF1,1997,P32519,,,1.577190534,,,,
ELAVL2,1993,Q12926,,,1.103784855,,,,
ELAPOR2,222223,A8MWY0,,,1.211236045,,,,
ELAPOR1,57535,Q6UXG2,,,1.125737185,,,,
EIF4G3,8672,O43432,,-1.897606054,,,,,
EIF4EBP3,8637,O60516,,,1.814252521,,,,
EIF4EBP1,1978,Q13541,,,,,-2.017713701,,
EIF4BP7,643873,,,,,,-2.719231552,,
EIF4BP6,645579,,,,,,-3.078748595,,
EIF2AK2,5610,P19525,,2.400045992,,2.516944892,3.063601344,"ZIKVfp NS5,ZIKVug NS5","0.887275609,0.790797687"
EID3,493861,Q8N140,,,1.278661385,,,,
EGR1,1958,P18146,,,,-2.439044911,,,
EGFEM1P,93556,,,,,,-2.041732917,,
EGF,1950,P01133,,,,4.107830196,4.266316992,,
EFS,10278,O43281,,,1.340508338,,,,
EFL1,79631,Q7Z2Z2,,2.687528925,,,,,
EFHD2,79180,Q96C19,,,1.67421542,,,,
EEPD1,80820,Q7L9B9,,,,,-2.613327075,,
EEIG2,284611,Q5T8I3,,,1.60356225,,,,
EEF1A1P5,158078,,,,,,-3.408600995,,
EDN1,1906,P05305,,,,,4.727145844,,
ECPAS,23392,Q5VYK3,,,1.395720987,,,,
ECHDC3,79746,Q96DC8,-0.626369403,,,,,,
ECHDC1,55862,Q9NTX5,,,1.111593792,,,,
ECH1,1891,Q13011,,,1.159291284,,,,
ECEL1,9427,O95672,,,1.143940266,,,,
EBI3,10148,Q14213,,,,,6.133952669,,
EBF2,64641,Q9HAK2,,,1.137177996,,,,
E2F7,144455,Q96AV8,,,,,4.345872658,,
E2F1,1869,Q01094,,,,,-3.501161018,,
DYSF,8291,O75923,,,1.239753456,,,,
DYRK1A,1859,Q13627,,,1.966178975,,,,
DYNLT4,343521,Q5JR98,,,1.406033374,,,,
DYNLT2B,255758,Q8WW35,,,,,-2.384672667,,
DYNLT1,6993,P63172,,,,,2.039392694,,
DUSP8,1850,Q13202,,,,,2.786763421,,
DUSP28,285193,Q4G0W2,,,1.774194102,,,,
DUSP1,1843,P28562,,,1.475181436,,,,
DUS2,54920,Q9NX74,,,1.755168564,,,,
DTX4,23220,Q9Y2E6,,,,,-2.397025795,,
DTX3L,151636,Q8TDB6,,1.601030028,,2.674195645,3.551022381,,
DSPP,1834,Q9NZW4,,,1.298716474,,-4.365594255,,
DSCR4,10281,,,,1.425007709,,,,
DSCR10,259234,,,,1.136871814,,,,
DSC3,1825,Q14574,,,1.141710429,,,,
DRC7,84229,Q8IY82,,,1.280626066,,,,
DRC1,92749,Q96MC2,,,1.349718331,,,,
DPYS,1807,Q14117,,,,,4.375739522,,
DOP1B,9980,Q9Y3R5,,,1.50835649,,,,
DOP1A,23033,Q5JWR5,,,1.644566803,,,,
DOLK,22845,Q9UPQ8,,,1.485104283,,,,
DOK7,285489,Q18PE1,,,1.35670828,,,,
DOCK4,9732,Q8N1I0,,,2.488037943,,,,
DNASE2B,58511,Q8WZ79,,,,,-3.547373587,,
DNASE1L3,1776,Q13609,,,,,-2.981673458,,
DNALI1,7802,O14645,,,1.17166947,,,,
DNAL1,83544,Q4LDG9,,,1.391102531,,,,
DNAJC5,80331,Q9H3Z4,,,,,-2.563848287,,
DNAJC28,54943,Q9NX36,,,,,2.247196417,,
DNAJB4,11080,Q9UDY4,,,,,2.069957756,,
DNAJB11,51726,Q9UBS4,,,1.427080807,,,,
DNAI7,55259,Q6TDU7,,,2.185452115,,,,
DNAAF1,123872,Q8NEP3,,,,4.227123868,4.52510997,,
DMWD,1762,Q09019,,,1.391118486,,,,
DMRT2,10655,Q9Y5R5,,,1.232084779,,,,
DMP1,1758,Q13316,,,,,-2.167238279,,
DMD,1756,P11532,,,,,2.225711909,,
DIP2B,57609,Q9P265,,1.548780939,,,,,
DHX58,79132,Q96C10,,,,2.282984713,2.884130644,,
DGLUCY,80017,Q7Z3D6,-1.227909786,,,,,,
DGKZ,8525,Q13574,,-4.419137156,,,,ZIKVfp NS5,0.91684142
DGCR6L,85359,Q9BY27,,,,,-2.553645906,,
DGAT1,8694,O75907,,,1.373434012,,,,
DEUP1,159989,Q05D60,,,1.606979401,,,,
DES,1674,P17661,,,1.139367075,,,,
DEPTOR,64798,Q8TB45,,,,,-2.839514675,,
DEPDC7,91614,Q96QD5,,,,,2.42042851,,
DEPDC5,9681,O75140,,,1.174139665,,,,
DENND1B,163486,Q6P3S1,,,1.447722832,,,,
DEGS2,123099,Q6QHC5,,,,,-2.261250933,,
DEFB128,245939,Q7Z7B8,,,2.267335704,,,,
DEFB113,245927,Q30KQ7,,,1.886449557,,,,
DEFB105A,245908,Q8NG35,,,1.216672836,,,,
DEFB1,1672,P60022,,,,4.107167339,6.970638779,,
DEFA5,1670,Q01523,,,1.227437867,,,,
DEDD2,162989,Q8WXF8,,,1.140431322,,,,
DDX60,55601,Q8IY21,,,,3.174589929,3.775247168,,
DDX52,11056,Q9Y2R4,,,1.783766704,,,"ZIKVfp Capsid,ZIKVug Capsid","0.840584451,0.825539762"
DDR1,780,Q08345,,,1.587472034,,,,
DDAH1,23576,O94760,,,,,2.243123558,,
DCP1A,55802,Q9NPI6,,0.762547239,,,,,
DCHS1,8642,Q96JQ0,,,,,-3.35791335,,
DCDC2,51473,Q9UHG0,,,,,-2.839878454,,
DCC,1630,P43146,,,1.114698629,,,,
DCBLD2,131566,Q96PD2,,,1.326994668,,,,
DCANP1,140947,Q8TF63,,,,,-5.565028965,,
DCAF6,55827,Q58WW2,,,1.503150647,,,,
DBP,1628,Q10586,,,,,-2.09609429,,
DBNL,28988,Q9UJU6,,,1.47645864,,,,
DBN1,1627,Q16643,,,,,-3.080802777,,
DAPP1,27071,Q9UN19,,,,,2.15983103,,
CYTL1,54360,Q9NRR1,,,1.241678349,,-3.064703449,,
CYTH4,27128,Q9UIA0,,-1.906844278,,,,,
CYSLTR1,10800,Q9Y271,,,,,2.226644069,,
CYP7B1,9420,O75881,,,1.516345822,,4.47444832,,
CYP4V2,285440,Q6ZWL3,,,1.480131193,,,,
CYP39A1,51302,Q9NYL5,,,1.619486364,,,,
CYP2U1,113612,Q7Z449,,,,,2.342432723,,
CYP2J2,1573,P51589,,,,3.900342753,5.108593442,,
CYP2E1,1571,P05181,,,1.170447129,,,,
CYP2A6,1548,P11509,,,1.115893147,,,,
CYP27A1,1593,Q02318,,,,,-2.695648149,,
CYP19A1,1588,P11511,,,1.246888312,,2.773197073,,
CYFIP2,26999,Q96F07,,,1.123172302,,,,
CYB5D2,124936,Q8WUJ1,,,1.236870893,,,,
CXorf65,158830,A6NEN9,,,1.599472227,,,,
CXCR4,7852,P61073,,,,-2.486688968,,,
CXCL3,2921,P19876,,,,,2.467332611,,
CXCL11,6373,O14625,,,,7.872891809,11.94954665,,
CXCL10,3627,P02778,,,,11.5141626,12.622518,,
CXCL1,2919,P09341,,,,4.892912779,2.575520553,,
CX3CR1,1524,P49238,,,1.886168855,,,,
CWC27,10283,Q6UX04,,,1.148642202,,,,
CUL3,8452,Q13618,,,2.008145591,,,,
CUEDC1,404093,Q9NWM3,,,1.132934623,,,,
CTSL,1514,P07711,,,1.335336416,,,,
CTSH,1512,P09668,,,1.569428916,,,,
CTNNA1,1495,P35221,,-0.997015091,,,,,
CTLA4,1493,P16410,,,,,2.24141435,,
CTIF,9811,O43310,,,1.848306635,,,,
CTAGE4,100128553,Q8IX94,,,2.257768841,,,,
CSTF2T,23283,Q9H0L4,,,1.840438773,,,,
CSPG4,1464,Q6UVK1,,,,,-2.07757809,,
CSNK1A1,1452,P48729,,,1.281350388,,,ZIKVug NS5,0.684649239
CSGALNACT1,55790,Q8TDX6,,,,,-2.595874857,,
CSDC2,27254,Q9Y534,,,1.172407878,,,,
CSAG3,389903,Q9Y5P2,,,,4.445062748,7.610430744,,
CSAG2,102723547,,,,,4.776230161,7.48228482,,
CS,1431,O75390,,,1.636958874,,,,
CRTC3,64784,Q6UUV7,,,1.827056632,,,,
CRTAC1,55118,Q9NQ79,,,1.290470243,,,,
CRLS1,54675,Q9UJA2,,,1.606030506,,,ZIKVug NS4A,0.600279205
CRABP2,1382,P29373,,,,,-2.535844259,,
CR2,1380,P20023,,,,,-2.494060888,,
CR1L,1379,Q2VPA4,,,,,2.109115369,,
CR1,1378,P17927,,,,,-2.401428976,,
CPSF1,29894,Q10570,,,1.638123402,,-2.050385506,"ZIKVfp NS5,ZIKVug NS5","0.786442849,0.699285753"
CPNE2,221184,Q96FN4,1.548069833,,,,,,
CPEB2,132864,Q7Z5Q1,,,1.120066871,,,,
CP,1356,P00450,,,1.189553509,,,,
COX8C,341947,Q7Z4L0,,,1.385177644,,,,
COX6B2,125965,Q6YFQ2,,,1.752218401,,,,
CORO1A,11151,P31146,,,1.238583266,,,,
COPS2,9318,P61201,1.146746077,,,,,"ZIKVfp NS5,ZIKVug NS5","0.681002057,0.669897739"
COLEC11,78989,Q9BWP8,,,1.233378179,,,,
COL6A5,256076,A8TX70,,,1.290056776,,,,
COL6A2,1292,P12110,,,,,-2.498572032,,
COL28A1,340267,Q2UY09,,,1.190984683,,,,
COL15A1,1306,P39059,,,2.080114425,,,,
COG8,84342,Q96MW5,,,1.135125604,,,"ZIKVfp NS4A,ZIKVug NS4A","0.860378952,0.897970774"
COG2,22796,Q14746,,,1.424323573,,,ZIKVfp NS4A,0.641410255
COCH,1690,O43405,,,1.571071245,,,,
COBL,23242,O75128,,,,,2.776970516,,
COA3,28958,Q9Y2R0,,,,,2.491948788,,
CNPY2,10330,Q9Y2B0,,,1.164543969,,,,
CNOT7,29883,Q9UIV1,,,1.66276163,,,,
CNOT6,57472,,,,1.222942828,,,,
CNMD,11061,O75829,,,1.822110102,,,,
CNKSR3,154043,Q6P9H4,,,1.836307679,,,,
CNIH3-AS2,102723817,,,,,,-2.530825855,,
CMYA5,202333,Q8N3K9,,,2.139870403,,,,
CMTR1,23070,Q8N1G2,,,1.113431476,,2.135127856,,
CMTM5,116173,Q96DZ9,,,1.469534038,,,,
CMTM4,146223,Q8IZR5,,,,-3.005429954,,,
CMTM2,146225,Q8TAZ6,,,1.210443874,,,,
CMPK2,129607,Q5EBM0,2.040383286,5.130396927,,5.051996257,8.334799005,,
CMPK1,51727,P30085,,,1.335682259,,,,
CMKLR1,1240,Q99788,,,,,2.353104574,,
CMC2,56942,Q9NRP2,,,1.247475446,,,,
CLUHP3,100132341,,,,,,2.501572188,,
CLTRN,57393,Q9HBJ8,,,1.669179727,,,,
CLPTM1L,81037,Q96KA5,,,2.187994719,,,,
CLPP,8192,Q16740,,0.902006536,,,,,
CLEC6A,93978,Q6EIG7,,,,,2.58571632,,
CLEC4E,26253,Q9ULY5,,,,2.004703488,3.710958778,,
CLEC4D,338339,Q8WXI8,,,,,2.905216662,,
CLEC3A,10143,O75596,,,1.247015116,,,,
CLEC17A,388512,Q6ZS10,,,1.257100673,,,,
CLEC12B,387837,Q2HXU8,,,1.591489842,,,,
CLEC11A,6320,Q9Y240,,,,,-2.230842311,,
CLDND1,56650,Q9NY35,,,1.309897135,,,,
CLDN5,7122,O00501,,,1.431670055,,,,
CLDN17,26285,P56750,,,1.207147338,,,,
CIMIP4,339669,O43247,,,1.191308933,,,,
CIDEB,27141,Q9UHD4,,,1.281913427,,-2.613574332,,
CIB4,130106,A0PJX0,,,1.329432256,,,,
CHTF8,54921,P0CG13,,,1.32198777,,,,
CHROMR,101927027,,,,,,2.112465624,,
CHRNB2,1141,P17787,,,1.39293185,,,,
CHRM1,1128,P11229,,,1.18440453,,,,
CHMP5,51510,Q9NZZ3,,,1.442567946,,,,
CHMP1B,57132,Q7LBR1,,,,,5.778031353,,
CHKA,1119,P35790,,,1.418423544,,,,
CHIT1,1118,Q13231,,-0.890968127,,,-2.73773005,,
CHCHD7,79145,Q9BUK0,,,1.242615052,,,,
CHAF1A,10036,Q13111,,,1.585654766,,,,
CGNL1,84952,Q0VF96,,,,,4.0765783,,
CGAS,115004,Q8N884,,,,,2.516292195,,
CFH,3075,P08603,,,1.323359744,,3.996317494,,
CFB,629,P00751,,,,3.155602643,6.251795966,,
CFAP96,441054,A7E2U8,,,1.679279103,,,,
CFAP58-DT,100505869,,,,,,2.961350215,,
CFAP54,144535,Q96N23,,,,2.76040107,4.665772602,,
CFAP45,25790,Q9UL16,,,1.117573646,,,,
CFAP43,80217,Q8NDM7,,,,,4.354962578,,
CFAP418,157657,Q96NL8,,,1.507017324,,,,
CFAP410,755,O43822,,,1.472895081,,,,
CFAP36,112942,Q96G28,,,1.096212317,,,,
CETN2,1069,P41208,,,1.145715287,,,DENV2 16681 NS3,0.6440675537631348
CERS6,253782,Q6ZMG9,,,1.434401998,,,,
CERS5,91012,Q8N5B7,,,1.271357952,,,,
CEP68,23177,Q76N32,,,1.158518427,,,,
CEP135,9662,Q66GS9,,,1.487509476,,,,
CEP126,57562,Q9P2H0,,,1.333853374,,,,
CEP120,153241,Q8N960,,,1.128412486,,,,
CEP112,201134,Q8N8E3,,,1.333378382,,,,
CENPQ,55166,Q7L2Z9,,,1.223845718,,,,
CENPL,91687,Q8N0S6,,,1.722987303,,,,
CENPF,1063,P49454,,,1.216794528,,,,
CENPB,1059,P07199,,,2.846879685,,,,
CEND1,51286,Q8N111,,,1.183848406,,,,
CEMIP,57214,Q8WUJ3,,,1.280053242,,,,
CEACAM1,634,P13688,,,,,2.517761347,,
CDR2L,30850,Q86X02,,,1.262947519,,,,
CDKL1,8814,Q00532,,,,,2.608121555,,
CDHR4,389118,A6H8M9,,,1.978961555,,,,
CDHR2,54825,Q9BYE9,,,1.309622497,,,,
CDH24,64403,Q86UP0,,,1.15321749,,,,
CDH23,64072,Q9H251,,,,,-3.250712492,,
CDH13,1012,P55290,,,1.174017981,,,,
CDCA7,83879,Q9BWT1,,,1.465682584,,,,
CDC37,11140,Q16543,,,1.143622871,,,"DENV2 16681 NS2B3,DENV2 16681 NS3","0.6276111381973145,0.7222995360512044"
CDC20B,166979,Q86Y33,,,1.332446611,,,,
CD81,975,P60033,,,1.288314517,,,,
CD80,941,P33681,,,,2.95983032,4.846014055,,
CD69,969,Q07108,,,,4.377155508,4.314133962,,
CD40,958,P25942,,,,,2.489837026,,
CD3G,917,P09693,,,1.532646396,,,,
CD38,952,P28907,,,,3.264786894,6.278654858,,
CD36,948,P16671,,-1.209982964,,,,,
CD302,9936,Q8IX05,,,,,-2.320837215,,
CD2AP,23607,Q9Y5K6,,,1.160544821,,,,
CD274,29126,Q9NZQ7,,,1.242951947,2.210636853,3.976167305,,
CD200R1,131450,Q8TD46,,,1.12136835,,,,
CD200,4345,P41217,,,,,2.539638845,,
CD1A,909,P06126,,,1.230682849,,,,
CD180,4064,Q99467,,,1.429259421,,,,
CD101,9398,Q93033,,,,,-2.417773164,,
CCZ1,51622,"['P86791', 'P86790']",,,1.467479882,,,,
CCSER1,401145,Q9C0I3,,,2.159274771,,,,
CCR7,1236,P32248,,,,,3.144420168,,
CCR4,1233,P51679,,,,,3.575848333,,
CCR2,729230,P41597,,,,,2.618963099,,
CCR1,1230,P32246,,,,,4.342913521,,
CCNA1,8900,P78396,,,,2.236580282,2.977491484,,
CCL8,6355,P80075,,,,9.317998522,11.84429203,,
CCL7,6354,P80098,,,,2.329612317,5.466117711,,
CCL5,6352,P13501,,,,,4.40415083,,
CCL4L2,9560,Q8NHW4,,,,,2.454512416,,
CCL4,6351,P13236,,,,,4.052485826,,
CCL3L3,414062,P16619,,,,3.359723547,4.862592577,,
CCL3,6348,P10147,,,,,3.727838289,,
CCL23,6368,P55773,,,,,2.078676643,,
CCL20,6364,P78556,,,,4.657882525,6.070524873,,
CCL2,6347,P13500,,,,3.258032279,6.402387058,,
CCL16,6360,O15467,,,1.253931904,,,,
CCL13,6357,Q99616,,,,,2.466677635,,
CCDC9B,388115,Q6ZUT6,,,,,-2.352068366,,
CCDC83,220047,Q8IWF9,,,1.95191548,,,,
CCDC65,85478,Q8IXS2,,,1.401604007,,,,
CCDC34,91057,Q96HJ3,,,,,-2.491056918,,
CCDC25,55246,Q86WR0,,,1.261254934,,,,
CCDC142,84865,Q17RM4,,,1.407009764,,,,
CCDC113,29070,Q9H0I3,,,1.2821376,,,,
CCDC102A,92922,Q96A19,,,1.130759392,,,,
CAVIN4,347273,Q5BKX8,,,,2.644085509,,,
CAVIN2,8436,O95810,,,1.216477047,,,,
CAV1,857,Q03135,,,,,2.864421793,,
CATSPER1,117144,Q8NEC5,,,,,-2.134241787,,
CASP7,840,P55210,,,,,2.068561318,,
CASP1,834,P29466,,,,2.006829679,3.320143245,,
CARM1,10498,Q86X55,,,1.529052305,,,,
CARD8-AS1,100505812,,,,,2.440001353,,,
CARD16,114769,Q5EG05,,,,,3.350519673,,
CARD14,79092,Q9BXL6,,,1.629452921,,,,
CAPN2,824,P17655,,,1.143643433,,,,
CAPN11,11131,Q9UMQ6,,,,,-2.709614451,,
CAMKMT,79823,Q7Z624,,,1.433564668,,,,
CAMK4,814,Q16566,,,1.481329315,,,,
CAMK1G,57172,Q96NX5,,,,,3.046001645,,
CALN1,83698,Q9BXU9,,,1.57100772,,,,
CALHM6,441168,Q5R3K3,,,,2.992169771,3.42917475,,
CALHM4,221301,Q5JW98,,,1.708101066,,,,
CALCOCO2,10241,Q13137,,,1.659675826,,,,
CALCOCO1,57658,Q9P1Z2,-4.320640808,,,,,,
CACNG2,10369,Q9Y698,,,1.301621078,,,,
CACNB1,782,Q02641,,,,-2.40549154,,,
CACNA1S,779,Q13698,,,1.261835173,,,,
CACNA1G,8913,O43497,,,,,-2.080994729,,
CACNA1A,773,O00555,,,,2.283277106,2.617682286,,
CABYR,26256,O75952,,,1.176543541,,,,
CABLES1,91768,Q8TDN4,,,2.730455862,,,,
C9orf78,51759,Q9NZ63,,,1.385285803,,,,
C9orf152,401546,Q5JTZ5,,,,,4.699652642,,
C7orf57,136288,Q8NEG2,,,,,-2.231609473,,
C7orf50,84310,Q9BRJ6,,,1.445131781,,,,
C6orf58,352999,Q6P5S2,,,1.468437246,,,,
C6orf141,135398,Q5SZD1,,,,6.609377237,9.294847264,,
C5AR1,728,P21730,,,,,-2.36555745,,
C5,727,P01031,,,,,2.846838813,,
C4orf33,132321,Q8N1A6,,,1.34663602,,,,
C4orf3,401152,Q8WVX3,,,,,3.002039033,,
C3orf52,79669,Q5BVD1,,,,2.432385913,3.747320726,,
C3orf38,285237,Q5JPI3,,,,,2.235415446,,
C2orf78,388960,A6NCI8,,,1.238836529,,,,
C2CD5,9847,Q86YS7,,,1.164242906,,,,
C2CD2L,9854,O14523,,,1.481831748,,,,
C21orf91,54149,Q9NYK6,,,,2.750916765,3.100855359,,
C21orf58,54058,P58505,,,1.211570909,,,,
C1S,716,P09871,,,,,4.548051244,,
C1R,715,P00736,,,,3.933583208,4.384578204,,
C1QTNF12,388581,Q5T7M4,,,1.782578385,,,,
C1QL3,389941,Q5VWW1,,,1.291438694,,,,
C1orf74,148304,Q96LT6,,,,3.048120377,,,
C1orf216,127703,Q8TAB5,,,,,3.201422912,,
C1orf174,339448,Q8IYL3,,,1.259581879,,,,
C1orf115,79762,Q9H7X2,,,1.208436458,,-2.440088272,,
C18orf21,83608,Q32NC0,,,1.155826221,,,ZIKVfp Capsid,0.700995948
C17orf67,339210,Q0P5P2,,,,,2.285171796,,
C16orf82,162083,Q7Z2V1,,,1.953650659,,,,
C16orf74,404550,Q96GX8,,,1.745473653,,,,
C16orf54,283897,Q6UWD8,,,,,-2.702161874,,
C15orf48,84419,Q9C002,,,,,2.747030534,,
C14orf119,55017,Q9NWQ9,,,1.583401555,,,,
C12orf57,113246,Q99622,,,1.212477691,,,ZIKVug NS5,0.895959388
C11orf68,83638,Q9H3H3,,,1.156746549,,,,
C11orf52,91894,Q96A22,,,1.419339392,,,,
BUB1B,701,O60566,,,1.332306509,,,,
BTG1,694,P62324,,,,,3.259494373,,
BRIP1,83990,Q9BX63,,,,4.015143988,4.596687723,,
BRDT,676,Q58F21,,,2.324418334,,,,
BRCA2,675,P51587,,,,,2.817446578,ZIKVug NS3,0.665030016
BRAP,8315,Q7Z569,0.950359927,,2.132240838,,,,
BPIFA3,128861,Q9BQP9,,,1.182223851,,,,
BORCS7,119032,Q96B45,,,1.38229702,,,,
BORCS6,54785,Q96GS4,-1.140864972,,,,,,
BORA,79866,Q6PGQ7,,,1.713066847,,,,
BOP1,23246,Q14137,,,,,-2.484914844,,
BOD1L1,259282,Q8NFC6,,-1.871358958,,,,,
BNIP2,663,Q12982,,,1.706282667,,,,
BMP2,650,P12643,,,,,3.92475098,,
BMP10,27302,O95393,,,1.268597861,,,,
BMAL2-AS1,101928646,,,,,,2.527310067,,
BLZF1,8548,Q9H2G9,,,,,2.48161567,,
BLVRB,645,P30043,1.492405884,,,,,,
BLCAP,10904,P62952,,,,,2.014974692,,
BIRC3,330,Q13489,,,,,2.775298077,,
BCL7B,9275,Q9BQE9,,,1.297503381,,,,
BCL2L14,79370,Q9BZR8,,,,,5.769212363,,
BCL2L11,10018,O43521,,,,,2.219845553,,
BBS9,27241,Q3SYG4,,,1.411459413,,,,
BBS12,166379,Q6ZW61,,,1.419450801,,,,
BAZ2A,11176,Q9UIF9,,,1.215689884,,,,
BATF3,55509,Q9NR55,,,,,2.174180071,,
BANK1,55024,Q8NDB2,,,,,2.047342758,,
BANF1,8815,O75531,,,1.989744015,,,,
