A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
TMPRSS3,64699,P57727,,,1.45932811,,,,
TMPRSS13,84000,Q9BYE2,,,,,2.365315608,,
TMEM97,27346,Q5BJF2,,,,-4.252729969,,,
TMEM94,9772,Q12767,,,1.134475584,,,,
TMEM91,641649,Q6ZNR0,,,,,-2.263703494,,
TMEM69,51249,Q5SWH9,,,1.849096524,,,,
TMEM64,169200,Q6YI46,,,1.176285558,,,,
TMEM52B,120939,Q4KMG9,,,,2.987889,2.332640222,,
TMEM51,55092,Q9NW97,,,1.138676956,,,,
TMEM45B,120224,Q96B21,,,,,-2.415484508,,
TMEM44,93109,Q2T9K0,,,1.236212593,,,,
TMEM39B,55116,Q9GZU3,,,1.136206823,,,,
TMEM35A,59353,Q53FP2,,,1.455742352,,,,
TMEM33,55161,P57088,,,1.577756485,,,,
TMEM30B,161291,Q3MIR4,,,2.092291497,,,,
TMEM270,135886,Q6UE05,,,1.206763592,,,,
TMEM266,123591,Q2M3C6,,,1.691599915,,,,
TMEM237,65062,Q96Q45,,,1.440205453,,,,
TMEM229B,161145,Q8NBD8,,,,,3.33895645,,
TMEM212,389177,A6NML5,,,,3.746152544,6.423641863,,
TMEM201,199953,Q5SNT2,,,1.116452928,,,,
TMEM199,147007,Q8N511,,,1.580151146,,,,
TMEM187,8269,Q14656,,,,,-2.771355228,,
TMEM183BP,653659,,,,1.153258827,,,,
TMEM17,200728,Q86X19,,,1.605452388,,,,
TMEM150C,441027,B9EJG8,,,,,2.400739075,,
TMEM147-AS1,100506469,,,,,,-3.552335771,,
TMEM147,10430,Q9BVK8,,,1.270250325,,,,
TMEM139,135932,Q8IV31,,,,,2.518413791,,
TMEM126B,55863,Q8IUX1,,,1.309366001,,,,
TMED4,222068,Q7Z7H5,,,1.108231988,,,"DENV2 16681 NS4A,ZIKVfp NS4A,ZIKVug NS4A","0.6663707895383829,0.767444464,0.769756082"
TMCO3,55002,Q6UWJ1,,,1.523922569,,,,
TMC6,11322,Q7Z403,,,,,-2.835190351,,
TM9SF1,10548,O15321,,,1.107574927,,,,
TM4SF19-DYNLT2B,100534611,,,,,,-2.737752875,,
TM4SF19-AS1,100874214,,,,,,-2.422718293,,
TM4SF19,116211,Q96DZ7,,,,,-2.783795041,,
TLX1NB,100038246,,,,1.252502367,,,,
TLR8,51311,Q9NR97,,,,3.374184613,3.510536481,,
TLR3,7098,O15455,,,,2.417594074,3.912255257,,
TLE5,166,Q08117,,,1.220339092,,,,
TLCD1,116238,Q96CP7,,,1.108863166,,,,
TIMP4,7079,Q99727,,,1.156148675,,,,
TIE1,7075,P35590,,,,,-2.559491428,,
THEMIS,387357,Q8N1K5,,,1.287459144,,,,
THEM6,51337,Q8WUY1,,,1.369896832,,,DENV2 16681 NS4A,0.8373550136755934
THAP12P7,100422712,,,,,-3.82441284,-7.520187469,,
TGM2,7052,P21980,,,,,-2.568053898,,
TGIF2,60436,Q9GZN2,,,,,-2.849792495,,
TFPT,29844,P0C1Z6,,,1.301127282,,,,
TFPI2,7980,P48307,,,,,6.225043271,,
TEX55,152405,Q96M34,,,2.012505742,,,,
TEX264,51368,Q9Y6I9,,,1.436758336,,,,
TESPA1,9840,A2RU30,,,,,3.119979726,,
TENT5C,54855,Q5VWP2,,,,,2.482153359,,
TDRD9,122402,Q8NDG6,,,1.182273976,,-2.844318677,,
TDRD7,23424,Q8NHU6,,3.050368893,,2.269517374,2.622430248,,
TCP11L1,55346,Q9NUJ3,,,1.190355043,,,,
TCL6,27004,,,,1.351189393,,,,
TCEANC,170082,Q8N8B7,,,,,2.687802263,,
TBX21,30009,Q9UL17,,,1.288024422,,,,
TBX20,57057,Q9UMR3,,,1.413783442,,,,
TBK1,29110,Q9UHD2,,,1.690677128,,,,
TBCCD1,55171,Q9NVR7,,,1.457648595,,,,
TBC1D3B,414059,A6NDS4,,,1.370664185,,,,
TBC1D23,55773,Q9NUY8,,,1.306626483,,,,
TBC1D10C,374403,Q8IV04,,,,,-2.19695321,,
TAS2R9,50835,Q9NYW1,,,1.169100232,,,,
TAS2R16,50833,Q9NYV7,,,1.714324183,,,,
TARP,445347,A2JGV3,,,1.234508256,,,,
TAP2,6891,Q03519,,,,,3.131936802,,
TAP1,6890,Q03518,,1.254141695,,,3.190053689,,
TAOK3,51347,Q9H2K8,,,1.255493114,,,,
TANC1,85461,Q9C0D5,,,1.466205278,,,ZIKVug NS5,0.878418581
TAGAP,117289,Q8N103,,,,2.022785639,3.535010383,,
TAF7,6879,Q15545,,,,3.92788382,,,
TAF1D,79101,Q9H5J8,,,1.686150215,,,,
TADA3,10474,O75528,,,1.098675554,,,,
TACC3,10460,Q9Y6A5,,,1.419608238,,,,
TAC3,6866,Q9UHF0,,,,3.753710748,8.310820224,,
SZT2,23334,Q5T011,,,1.15870671,,,,
SYTL1,84958,Q8IYJ3,,,,,-2.591571538,,
SYT15,83849,Q9BQS2,,,1.613938539,2.006713704,2.211292078,,
SYT11,23208,Q9BT88,,,1.739297142,,,,
SYT1,6857,P21579,,,,,-3.643873032,,
SYNPO2,171024,Q9UMS6,,,1.122113528,,5.004197813,,
SYNPO,11346,Q8N3V7,,,,,3.342089521,,
SYNC,81493,Q9H7C4,,,1.284023306,,,,
SYCP2L,221711,Q5T4T6,,,1.609109154,,,,
SUPT3H,8464,O75486,,,1.505016946,,,,
SUMF2,25870,Q8NBJ7,,,1.555739637,,,,
SUDS3P1,285647,,,,,2.042546961,,,
STXBP1,6812,P61764,,,,,-2.007052174,ZIKVug NS4A,0.9109111
STX12,23673,Q86Y82,,,1.218370308,,,"ZIKVfp NS4A,ZIKVug NS4A","0.888381872,0.905758034"
STX11,8676,O75558,,,,3.763858866,2.791154298,,
STUM,375057,Q69YW2,,,1.165640793,,,,
STOX2,56977,Q9P2F5,,,1.269913361,,,,
STOX1,219736,Q6ZVD7,,,1.306122213,,,,
STOML1,9399,Q9UBI4,,,,2.463601542,3.269948489,,
STOM,2040,P27105,,1.878361517,,,2.083760291,"DENV2 16681 NS4A,ZIKVfp NS4A,ZIKVug NS4A","0.6701788613806507,0.862842401,0.883423103"
STK17A,9263,Q9UEE5,,,,,2.07631086,,
STEAP4,79689,Q687X5,,,,2.350003938,3.317246802,,
STATH,6779,P02808,,,1.110966252,,,,
STAT2,6773,P52630,,2.441895404,1.837156228,,2.356223959,"ZIKVfp NS5,ZIKVug NS5","0.896726313,0.785825669"
STAT1,6772,P42224,,2.708410504,,2.751635954,3.366775964,,
STAP1,26228,Q9ULZ2,,,,6.394815515,6.226942419,,
STAB1,23166,Q9NY15,,,,,-2.822945985,,
ST8SIA4,7903,Q92187,,,,,2.107063447,,
ST6GALNAC4,27090,Q9H4F1,,,1.198102077,,-2.027850923,,
ST6GALNAC3,256435,Q8NDV1,,,,,-2.755435914,,
ST3GAL3,6487,Q11203,,,1.97052226,,,,
SSPOP,23145,,,,1.34820491,,,,
SSB,6741,P05455,,,,,2.009418664,DENV2 16681 Capsid,0.607090191769066
SRSF8,10929,Q9BRL6,,,,,-3.919729596,ZIKVfp NS5,0.906325596
SRSF11,9295,Q05519,,,1.342903291,,,DENV2 16681 Capsid,0.6256565987716528
SRRM3,222183,,,,1.276579992,,,,
SRFBP1,153443,Q8NEF9,,,1.72464248,,,,
SPRR4,163778,Q96PI1,,,1.24569537,,,,
SPRR2B,6701,P35325,,,1.217511684,,,,
SPRING1,79794,Q9H741,,,,,-2.01415878,,
SPOPL,339745,Q6IQ16,,,1.2492457,,,,
SPON1,10418,Q9HCB6,,,,3.138299407,3.941877927,,
SPOCD1,90853,Q6ZMY3,,,,,-2.747572695,,
SPINDOC,144097,Q9BUA3,,,1.754906052,,,,
SPECC1,92521,Q5M775,,,1.339039681,,,,
SPATS2L,26010,Q9NUQ6,,0.664048158,,,,,
SPATC1L,84221,Q9H0A9,,,1.290393769,,,,
SPATC1,375686,Q76KD6,,,1.106705262,,,,
SPATA31G1,138724,Q5VYM1,,,1.57667465,,,,
SPATA12,353324,Q7Z6I5,,,,-2.562906726,,,
SPARC,6678,P09486,,,,,-2.268423329,,
SPAG11A,653423,"['Q08648', 'Q6PDA7']",,,1.231745857,,,,
SPA17,53340,Q15506,,,2.145747855,,,,
SP140,11262,Q13342,,,,2.965999951,3.481205792,,
SP110,3431,Q9HB58,0.842989962,2.214229617,,2.758843792,3.157244417,,
SP100,6672,P23497,,1.528571932,,,,,
SOX13,9580,Q9UN79,,,1.203010471,,,,
SOWAHC,65124,Q53LP3,,,,-5.75033706,,,
SOD2,6648,P04179,,,,,3.105013551,,
SOD1,6647,P00441,,,1.445333318,,,,
SOCS2,8835,O14508,,,,,2.516615371,,
SOCS1,8651,O15524,,,,2.317312437,2.606520113,,
SNX25,83891,Q9H3E2,,,1.521554797,,,,
SNX20,124460,Q7Z614,,,1.392038935,,,,
SNX17,9784,Q15036,,,1.556514473,,,,
SNURF,8926,"['Q9Y675', 'P63162']",,,1.30839756,,,,
SNRNP35,11066,Q16560,,,1.42336012,,,,
SNRNP27,11017,Q8WVK2,,,1.247369325,,,,
SNRNP25,79622,Q9BV90,,,,,-2.594644621,,
SNORD94,692225,,,,,-5.249637352,,,
SNHG20,654434,,,,,,-3.058506884,,
SNED1,25992,Q8TER0,,,,,-2.239532488,,
SNCA,6622,P37840,,-2.165704026,,,,,
SMTNL1,219537,A8MU46,,,,2.561349979,3.267474135,,
SMTN,6525,P53814,,,1.222721728,,,,
SMIM19,114926,Q96E16,,,1.1125165,,,,
SMIM18,100507341,P0DKX4,,,,,2.092446129,,
SMIM13,221710,P0DJ93,,,1.1541416,,,,
SMCO2,341346,A6NFE2,,,,,3.159729595,,
SMAD6,4091,O43541,,,1.138153331,,,,
SLURP1,57152,P55000,,,1.408138049,,,,
SLFN12L,100506736,Q6IEE8,,,,4.786405789,5.545521292,,
SLFN12,55106,Q8IYM2,,,,,2.134900698,,
SLFN11,91607,Q7Z7L1,,,1.225621073,,,,
SLC9A3-AS1,100288152,,,,,,-2.023120879,,
SLC9A2,6549,Q9UBY0,,,,,-2.002158987,,
SLC7A13,157724,Q8TCU3,,,1.186116612,,,,
SLC5A3,6526,,,,1.242828821,,,,
SLC51B,123264,Q86UW2,,,1.114684521,,,,
SLC45A3,85414,Q96JT2,,,,,-2.607852432,,
SLC44A1,23446,Q8WWI5,,,1.743059119,,,ZIKVfp NS4A,0.777404805
SLC43A1,8501,O75387,,,,,-2.874015156,,
SLC39A8,64116,Q9C0K1,,,,,2.083390607,,
SLC39A3,29985,Q9BRY0,,,,,-2.174472471,,
SLC38A5,92745,Q8WUX1,,,,4.854372125,7.169937763,,
SLC37A2,219855,Q8TED4,,,,,-2.944238258,,
SLC35F3,148641,Q8IY50,,,,,-4.889804633,,
SLC35E3,55508,Q7Z769,,,1.284479962,,,,
SLC35D2,11046,Q76EJ3,,,1.318781264,,,,
SLC35B2,347734,Q8TB61,,,1.658906063,,,"ZIKVfp NS4A,ZIKVug NS4A","0.90880547,0.767999012"
SLC32A1,140679,Q9H598,,,1.328392575,,,,
SLC30A9,10463,Q6PML9,,,1.537637525,,,,
SLC30A4,7782,O14863,,,,,2.363656495,,
SLC30A3,7781,Q99726,,,,,-2.302540774,,
SLC30A1,7779,Q9Y6M5,-2.114594111,,,,-2.60444152,,
SLC2A4RG,56731,Q9NR83,,,1.217186492,,-2.061515288,,
SLC2A12,154091,Q8TD20,,,1.263991648,,2.669389496,,
SLC25A21,89874,Q9BQT8,,,1.210933296,,,,
SLC25A17,10478,O43808,,,1.413230631,,,,
SLC24A4,123041,Q8NFF2,,,,,-2.684548779,,
SLC22A13,9390,Q9Y226,,,1.226793839,,,,
SLC19A1,6573,P41440,,,,,-2.582931123,,
SLC18B1,116843,Q6NT16,,,,2.398612782,,,
SLC16A7,9194,O60669,,,,,-3.111008761,,
